Site and link	Questions	Answers	Category	Comments
	How do I obtain a visa and residence permit for studying at UTN?	If you are a non-EU student, you must apply for a student visa before traveling to Germany. Upon arrival, you need to register with the local Residents' Registration Office and apply for a residence permit. The university provides detailed guidelines on visa applications and residence permits.	Visa and Documents	
	Is health insurance mandatory for students in Germany?	Yes, all students in Germany must have valid health insurance. You can either register with a statutory health insurance provider or provide proof of private health insurance if you are an international student. The university requires valid health insurance documents for enrollment.	Visa and Documents	
	What are the financial aspects of studying at UTN?	UTN does not charge tuition fees, but students must cover semester contributions, living expenses, and other personal costs. You should budget for rent, food, health insurance, and transportation. International students may also need to show proof of financial resources for visa purposes.	UTN Information	
	What housing options are available for UTN students?	Students can find accommodation through university-provided resources, private rental apartments, or student dormitories. UTN offers support for students in finding suitable accommodation and understanding German rental contracts.	UTN Information	
	What is UTN’s approach to sustainability?	UTN places a strong emphasis on sustainability in campus operations, construction projects, and research initiatives. The university integrates eco-friendly practices in its infrastructure and encourages sustainable habits among students and staff.	UTN Information	
	What student support services are available at UTN?	UTN offers academic advising, career counseling, international student support, and mental health services. The university also has a dedicated student services team to assist with enrollment, accommodation, and administrative tasks.	UTN Information	
	What research opportunities are available at UTN?	UTN provides various research opportunities through its departments, including AI & Robotics, Cognitive Neuroscience, Learning Technologies, and more. Students can engage in ongoing research projects, apply for doctoral programs, or participate in innovation labs.	UTN Information	
	What departments are there at UTN?	UTN has multiple departments, including the Department of Computer Science & Artificial Intelligence and the Department of Liberal Arts & Social Sciences. These departments house various research labs and academic programs.	UTN Information	
	What Master's programs are offered at UTN?	UTN offers programs such as AI & Robotics (M.Sc.), and Human and Artificial Intelligence (M.Sc. / M.A.). Each program has specific admission requirements and focuses on interdisciplinary learning.	UTN Information	
	Are there research labs at UTN?	Yes, UTN has several research labs, including the Artificial Intelligence and Robotics Lab, Machine Learning Lab, Computer Vision and Machine Perception Lab, and many others focused on AI, cognitive science, and liberal arts.	UTN Information	
	Are there job opportunities for students at UTN?	Yes, UTN offers various job opportunities for students, including research assistant positions, internships, and part-time roles within the university. Students can also explore external job opportunities through UTN’s career services.	UTN Information	
	Does UTN provide career support for graduates?	UTN provides career counseling, networking opportunities, and job placement support for students and graduates. The university maintains strong industry connections and assists students in preparing for their careers through workshops and job fairs.	UTN Information	
	How can I contact UTN for further information?	You can contact UTN via their official website’s contact page, where you will find department-specific emails and phone numbers. Additionally, you can reach out to the university through social media platforms like Twitter, LinkedIn, Instagram, and Facebook.	UTN Information	
	Does UTN offer scholarships for students?	Currently, UTN does not provide direct scholarships, but students can apply for external funding options, government scholarships, and research grants. The university's student services team can guide students in finding suitable funding sources.	UTN Information	
				
UNI FAQ 				
General				
	Can I participate in the program if I am off-site in Nuremberg?	The program entails full-time studies and necessitates physical attendance in Nuremberg.	Study Regulations	https://www.utn.de/studium/faq/#collapse_0 
	Is it possible to pursue the program on a part-time basis?	No, this is a full-time program. We highly recommend studying full-time. Our new learning design is geared towards active learning and continuous self-reflection during the courses.	Study Regulations	
	Are there tuition fees for the program?	The program is free of tuition fees, but there is a charge for student services and the basic semester ticket. See here: https://www.utn.de/en/study/enrollment/	UTN Information	
	Am I eligible for a scholarship, and what is the application process?	The program does not offer scholarships.	UTN Information	
	Are there any information events for applicants to attend?	You may attend our online Q&A sessions. Find here the date and time: https://www.utn.de/en/study/#office	UTN Information	
	Where should international applicants submit their application?	International applicants must apply for the study program at UTN via UTNexus and additionally submit their application via our partner uni-assist e.V. Find all relevant information here: https://www.utn.de/en/application-to-study	Study Regulations	
	Where should applicants with a German degree submit their application?	All applicants must submit their online application through our UTNexus portal. Find all relevant details here: https://www.utn.de/en/application-to-study	Study Regulations	
	How can I convert my international grades to the German grading system?	If you apply with your international degree through our partner uni-assist e.V., your grades and credits will be converted automatically.	UTN Information	
	Where should German citizens with an international bachelor's degree submit their application?	If you are not holding a German degree, you need to submit your application additionally via our partner uni-assist.	Study Regulations	
	Can I submit my application by email or by post?	No. We do not accept any applications by email or by post. You have to register via UTNexus.	Study Regulations	
	Is there always a selection interview?	No, if you score 90 or more out of 100, you will be directly admitted to the program. If you score between 70 and 89 points, you will be invited to a selection interview. However, if you score 69 or fewer points, your application will be rejected and you will not be granted admission.	Study Regulations	
	How will I receive information about the outcome of my application?	We will inform you about the status of your application through an email sent to you via UTNexus. Upon receiving a positive decision, you will also be granted access to your admission or rejection letter, which you can download via UTNexus.	Study Regulations	
	Will my application be considered if I do not have the required ECTS?	Your application will be considered even if you lack a few ECTS in one of the fields, provided that your grades are excellent and you fulfill all other requirements.	Study Regulations	
	Can I apply for the program if my Bachelor's degree is not in Informatics or Computer Science?	Yes, if you fulfill the requirements: https://www.utn.de/en/application-to-study/#requirements.	Study Regulations	
	Will online courses I have taken be considered in my application?	If the courses taken at the university in a specific field are less than the required ECTS, you can supplement them by including online courses in your application. However, you must have completed more university courses than online courses. In addition, you must provide certificates for any online courses you list in your application.	Study Regulations	
	Do I need to submit recommendation letters?	We do not require applicants to submit recommendation letters. Please ensure that you provide all the necessary documents as stated on the website. Please note that we will not consider any recommendation letters in the application process.	Study Regulations	
	What should the explanatory letter include?	The application requires a written justification in English of no more than 600 words. The justification should explain the specific interest in the degree program and demonstrate the special talent and willingness to perform. Relevant information on vocational training, internships, periods of study abroad, or further education in the Bachelor’s degree program should be included. Additionally, the applicant should reference the learning concept at UTN and explain how it supports their acquisition of competencies.	Study Regulations	
	When do I have to prove my English language skills?	The required English language skills must already be available when you apply to study. You can find out which documents you need to present here (link to Suitability Certificate/ASPO). As soon as you arrive in Nuremberg, you can present your original documents to us at Student Services during Welcome Week.	Study Regulations	
	Is knowledge of German or a German language proficiency certificate necessary for my application?	We request that you provide proof of your German language proficiency (Level A2) or a university entrance qualification from a German-speaking school or educational institution no later than the start of your fourth semester, which coincides with the beginning of your master thesis. While our program is exclusively taught and evaluated in English, we believe that learning some basic German can greatly enhance your experience as a student. If a language test is already submitted for the application or enrollment, it must not be older than two years.	Study Regulations	
	Should I send my IELTS/TOEFL certificate directly to the program or to a third-party organization?	No. Please upload all your documents to UTNexus. We will disregard any documents sent by post.	Study Regulations	
	What should I do if my bachelor’s certificate is not ready at the time of application?	In the event that your degree certificate is not yet obtainable, we understand your situation and offer flexibility. You are welcome to submit your certificate up to 5 weeks after the start of the semester.	Study Regulations	
	Can I still submit my documents if I missed the application deadline?	No. We do not accept any late submissions.	Study Regulations	
	What is the process for converting my credits to ECTS?	If you apply with your international degree through our partner uni-assist e.V., your grades and credits will be converted automatically.	Study Regulations	
	Is an APS certificate required for my application?	An APS certificate is only required if you completed your undergraduate degree in India, China, or Vietnam.	Study Regulations	
	Do I need an English language proficiency certificate if my first degree was in English?	Yes, an English language proficiency certificate is necessary in any case, which is not older than two years. You may take TOEFL internet-based at least 90 points, TOEFL Paper at least 577 points, IELTS at least 6.5, Cambridge Language Assessment C1 Advanced). Other certificates may be accepted by the UTN School of StaRs (Team Student Service).	Study Regulations	
	What should I do if my application documents are not in English or German?	Documents issued in German or English do not need to be translated. Documents issued in another language must be translated by a sworn translator and certified with an official seal. For admission, merge the original and the translated document into one PDF file and upload the merged PDF file to the online application.	Study Regulations	
	When do I have to prove my German language skills?	Not later than the start of your fourth semester, with the beginning of your master thesis.	Study Regulations	
	Will my work experience be considered in my application?	Yes, work experience in the field of artificial intelligence, robotics, machine learning, deep learning, computer vision, and data science will be considered positively.	Study Regulations	
	I applied and was accepted to study, but my visa has not been approved yet. What should I do?	Your admission is valid until winter semester 2024/2025, which gives you the flexibility to start your studies at UTN at a later date. In case you decide to defer your enrollment, please inform the Student Service Team at stars@utn.de.	Study Regulations	
Link not preent o webste FAQ (find and replace)	When do I have to prove language skills?	The required English language skills must already be available when you apply for a study program. You can find out which documents you need to submit here (link to Suitability Certificate/ASPO). As soon as you arrive in Nuremberg, you have to present your original documents to Student Services during Welcome Week.	Study Regulations	
	Do I need to confirm my enrollment in the program after successful admission?	It is important to note that you must confirm your study place by clicking on the “Accept study place” button in your UTNexus account at least 2 weeks before the end of the enrollment period. The enrollment period ends at the start of the semester, so please make sure to confirm your place in a timely manner.	Study Regulations	
	What do I need to do to complete the enrollment process?	Once you have arrived in Nuremberg, you should submit your original documents to Student Services as soon as possible. You can submit your originals within five weeks after the start of the semester or submit any missing certificates and diplomas.	UTN study programme	
	From when and until when can I enroll?	Please find this information here: https://www.utn.de/en/study/	UTN study programme	
	I have been enrolled. What do i do now?	Congratulations on completing the most crucial formalities for your studies at UTN by successfully enrolling! Now, you can focus on other important details such as finding accommodation, planning your move, etc., before commencing your studies in Nuremberg. To assist you with this transition, our Welcome Center has prepared a checklist that you can refer to. Additionally, you can always approach our Welcome Center for any support you may require.	UTN Information	
	Is there an orientation day before the semester starts?	Not just one day but a whole week! The UTN Welcome Week takes place one week before the start of the course. You will be personally welcomed by the President, Chancellor, and our Vice-Presidents and meet your fellow students! In addition, you will have the chance to meet your future contact persons in person and to clarify any open questions. With a relaxed program, we will help you with your start at UTN! You can find more details at utn.de/welcome-week.	UTN Information	
	Who can help me if I have to move to Nuremberg?	If you need assistance with moving to Nuremberg, our Welcome Center is available to help. They provide guidance on finding accommodation, settling in, and any other support you may need to make your transition smoother.	Life in Germany/Nuremberg	
				
Accomodation Search				
	What are the different housing options available for students moving to a new city?	Students moving to a new city can choose from various accommodation options, including student dormitories, shared apartments (WGs), private apartments, subleases, and temporary rentals. Each option offers different advantages depending on budget, lifestyle preferences, and availability. Student dormitories are affordable and provide an opportunity to quickly connect with other students, while shared apartments allow for communal living at a lower cost. Private apartments offer more independence but are usually more expensive. Subleases are ideal for short-term stays, especially for students who are still exploring the city. Temporary housing is a flexible option for those who have not yet secured permanent accommodation.	Life in Germany/Nuremberg	
	Who can apply for student dormitories, and what are the benefits?	Student dormitories are available exclusively to students and offer several benefits, such as affordability and a sense of community. The rent is generally lower compared to private apartments, making it a budget-friendly choice. Additionally, most dormitories provide essential furnishings, including a bed, wardrobe, table, and chair, which simplifies the moving process, particularly for international students. Living in a student dormitory also facilitates social interaction with fellow students, helping newcomers adjust more easily to their new environment.	Life in Germany/Nuremberg	
	What kind of rooms are available in student dormitories?	The types of rooms in student dormitories vary depending on the specific residence. Some dormitories offer private studio apartments, while others provide rooms in shared apartments where common areas such as kitchens and bathrooms are shared among residents. Unlike in some English-speaking countries, it is uncommon in Germany for students to share a single room with another person. The choice between a private room and a shared apartment often depends on availability, personal preference, and budget.	Life in Germany/Nuremberg	
	What facilities do student dormitories offer?	Student dormitories generally provide a range of facilities that enhance the convenience of student life. Many include common areas such as lounges and study rooms, allowing students to socialize and work in a quiet environment. Laundry rooms, gyms, and parking spaces are also commonly available. Some dormitories offer additional services such as on-site administration or janitorial staff who serve as points of contact for students in case of issues or maintenance requests. Family apartments at reduced prices are sometimes available for students who need accommodation for themselves and their families.	Life in Germany/Nuremberg	
	How much does a room in a student dormitory cost?	The cost of living in a student dormitory depends on various factors, including the provider, location, room type, and available facilities. On average, students should expect to pay between 200 and 600 euros per month for a dormitory room. More affordable options tend to have longer waitlists, sometimes lasting several semesters.	Life in Germany/Nuremberg	
	How can students apply for dormitory accommodation?	Students interested in dormitory accommodation must apply through the relevant housing providers, such as Studierendenwerke or private dormitory operators. Universities typically do not arrange rooms directly but maintain contact with the housing providers. Application deadlines, available room types, and rental costs vary by provider, so students should check the respective websites for detailed information. It is advisable to apply as early as possible due to high demand.	Life in Germany/Nuremberg	
	  What is a shared apartment (WG), and why is it popular among students?	A shared apartment, known as a WG (Wohngemeinschaft) in Germany, is a popular housing choice where tenants share common spaces like the kitchen, living room, and bathroom while having a private bedroom. This type of living arrangement lowers individual rent costs and fosters a social environment. Many WGs emphasize communal living, often hosting shared activities or parties, making them a preferred option for students looking to engage with others.	Life in Germany/Nuremberg	
	How do students apply for shared apartments (WGs)?	To apply for a WG, students typically search for available rooms on websites dedicated to shared housing. When a room becomes available, existing tenants often conduct interviews, known as WG castings, to select a new roommate. It is important to attend these meetings and get to know potential housemates, as compatibility in lifestyle and habits is key to a pleasant shared living experience.	Life in Germany/Nuremberg	
	Who should consider renting a private apartment?	Renting a private apartment is ideal for students who prefer independence, quiet living, or need accommodation for their families. Private apartments offer flexibility in terms of location, size, and amenities but tend to be more expensive than shared housing options. Finding a private rental often requires searching on real estate websites or contacting local landlords.	Life in Germany/Nuremberg	
	What is a sublease, and why is it a good option for students?	A sublease is a temporary rental agreement where a tenant rents out their apartment or room while they are away for an extended period. This is a convenient option for students who need short-term accommodation, as sublet properties are often furnished and ready for immediate move-in. In shared apartments, subleases also provide an opportunity to meet new people and potentially secure long-term housing.	Life in Germany/Nuremberg	
	What should students be cautious about when subletting?	When subletting, students should ensure they receive a formal rental agreement and a tenancy confirmation (Wohnungsgeberbestätigung) from the landlord. This document is required for registering at the Residents’ Registration Office. Students should avoid informal or verbal agreements to prevent legal and financial complications.	Life in Germany/Nuremberg	
	What can students do if they do not find an apartment immediately?	If students do not find permanent housing immediately, they can consider short-term accommodations such as temporary rentals, hostels, or serviced apartments. These options tend to be more expensive but provide flexibility while searching for long-term housing. Some universities and student organizations also offer temporary housing assistance for newly arrived students.	Life in Germany/Nuremberg	
	What are the best tips for finding student accommodation?	To increase their chances of finding suitable accommodation, students should start their search early, apply to multiple providers, and remain flexible regarding location and rental terms. Using various channels such as real estate websites, social media, and university housing services can also be helpful. Ensuring that all application profiles and requests include detailed and accurate information improves the likelihood of receiving positive responses from landlords.	Life in Germany/Nuremberg	
	How can students recognize rental scams?	Students should be cautious when searching for accommodation online, as rental scams are common. They should never transfer money or share sensitive personal information before visiting the apartment and signing a legitimate contract. If an offer seems suspiciously cheap or the landlord avoids in-person meetings, it may be fraudulent. Generally, apartment viewings in Germany are free, and legitimate landlords do not require upfront payments before signing a lease.	Life in Germany/Nuremberg	
				
Rental Contract				
	How do I sign a rental contract in Germany?	Once you and your landlord or landlady have signed the rental contract, you are legally bound by its terms. You must then pay the deposit and the first month’s rent. Before signing, landlords usually require documents like proof of income, an employment contract, proof of financial resources, or a residence permit. In return, the landlord must provide an energy certificate.	Life in Germany/Nuremberg	
	What documents do I need to provide before signing a lease?	Landlords and property managers typically request documents such as proof of income, an employment contract, proof of sufficient financial resources, and a residence permit before allowing you to sign the rental contract. These documents help confirm that you can afford the rent.	Life in Germany/Nuremberg	
	What should I check in my rental contract before signing?	Before signing, check that the landlord’s address is correctly stated, your name is complete and accurate, and the apartment size is properly mentioned. Rooms below two meters high do not count as living space, and balconies or terraces are calculated at half their actual size. Make sure all conditions, including rent, ancillary costs, and deposit, are clearly mentioned.	Life in Germany/Nuremberg	
	Can I sublet my apartment while studying in Germany?	If you wish to sublet your apartment, you must ensure that this is explicitly allowed in your rental contract. Subletting without permission could lead to legal issues or even termination of the lease.	Life in Germany/Nuremberg	
	Am I allowed to have pets in my student apartment?	Keeping dogs and cats in the apartment is only allowed if explicitly mentioned in the rental contract. However, small pets such as fish, birds, hamsters, and guinea pigs do not require special permission from the landlord.	Life in Germany/Nuremberg	
	Who is responsible for repairs in my rental apartment?	In general, the landlord is responsible for all necessary repairs in the apartment. However, the rental contract may include a clause requiring you to handle minor repairs yourself. Some restrictions, like being required to paint walls a certain color, are legally invalid even if included in the lease.	Life in Germany/Nuremberg	
	How long is a typical rental contract for students?	Rental agreements are usually for an indefinite period. A fixed-term lease is only allowed if a valid reason, such as the landlord’s personal use, is stated in the contract. If there is no special reason for termination, tenants typically have a three-month notice period.	Life in Germany/Nuremberg	
	Can my landlord increase my rent every year?	Rent increases are regulated, and landlords cannot raise the rent arbitrarily. If there is a graduated rent agreement in your contract, the rent will increase automatically at fixed intervals. Otherwise, rent may only be increased once every twelve months and by a maximum of 20% within three years, following local comparative rent regulations.	Life in Germany/Nuremberg	
	What is the difference between cold rent and warm rent?	Cold rent refers to the base cost of renting the apartment without additional expenses. Warm rent includes the cold rent plus ancillary costs such as water, garbage collection, janitorial services, and certain taxes. The warm rent is usually calculated with an estimated advance payment and adjusted annually based on actual consumption.	Life in Germany/Nuremberg	
	Do I need to pay extra costs besides my monthly rent?	Yes, besides rent, you may have to pay additional costs like electricity, gas (if not included in warm rent), and broadcasting fees. Depending on your consumption, you may also need to make additional payments if your annual service charge statement shows higher-than-expected usage.	Life in Germany/Nuremberg	
	How do I set up electricity and gas for my apartment?	Your lease will specify whether heating costs are included. If your apartment has a floor heating system, you may need to choose a gas supplier and pay separately for heating. Electricity contracts are almost always the tenant’s responsibility. You can compare providers online to find a suitable tariff. Bills are issued annually based on your consumption.	Life in Germany/Nuremberg	
	Do I have to pay broadcasting fees as a student?	Yes, every household in Germany must pay broadcasting fees, currently €18.36 per month. Registration happens automatically after you register at the Residents' Registration Office. However, if you live in a shared apartment, only one person needs to pay the fee, so it’s best to discuss it with your roommates.	Life in Germany/Nuremberg	
	How much is the rental deposit, and when do I get it back?	The rental deposit cannot exceed three months’ cold rent. It must be paid at the beginning of the lease but can be split into three monthly installments. The landlord must place the deposit in an interest-bearing account. After moving out, you will get your deposit back, including interest, as long as there are no damages to the apartment.	Life in Germany/Nuremberg	
	What is an all-inclusive rent, and is it a good option for students?	All-inclusive rent covers all costs, including utilities, in a fixed price, except for the deposit. Unlike warm rent, where costs are calculated based on usage, all-inclusive rent remains constant. This can be convenient for students since it eliminates unexpected additional payments, but it also means you cannot reduce costs through lower consumption.	Life in Germany/Nuremberg	
	What should I do if I find damages in my apartment after moving in?	When moving in, a protocol documenting the apartment’s condition is created. If you notice damages after receiving the keys, report them to your landlord within 14 days. If you fail to report them, you may be held responsible for existing damages when you move out.	Life in Germany/Nuremberg	
			Life in Germany/Nuremberg	
Resident Registration			Life in Germany/Nuremberg	
	What is the Residents' Registration Office in Germany?	The Residents' Registration Office (Einwohnermeldeamt) is where you must register your new address after moving to Germany. This registration is mandatory and must be done within two weeks of your move.	Life in Germany/Nuremberg	
	Why do I need to register with the Residents' Registration Office?	Registration is required for various services, such as using the city's service portal or opening a bank account. It is a legal requirement for all residents in Germany.	Life in Germany/Nuremberg	
	What documents do I need to register at the Residents' Registration Office?	To register, you will need a valid identification document (such as an identity card or passport) and a tenancy confirmation from your landlord or landlady.	Life in Germany/Nuremberg	
	How can I get the tenancy confirmation for registration?	The tenancy confirmation is issued by your landlord or landlady. In Nuremberg, for example, the city provides a sample form that your landlord can fill out.	Life in Germany/Nuremberg	
	Where can I register my address in Nuremberg?	You can register at the Bürgeramt, the city's local office. You can find an overview of the Bürgerämter in Nuremberg on their official website: https://www.nuernberg.de/internet/buergeramt_mitte/standorte.html	Life in Germany/Nuremberg	
	Do I need an appointment to register at the Residents' Registration Office?	Many Bürgerämter allow you to reserve an appointment online. However, these appointments can be popular and often fully booked, especially at the start of the semester. You can also visit without an appointment but may face long wait times.	Life in Germany/Nuremberg	
	How soon after my move should I register?	You are required to register your new address within two weeks of moving to your new place of residence.	Life in Germany/Nuremberg	
	Can I register my residence without an appointment?	Yes, many Bürgerämter allow you to visit without an appointment, but you should be prepared for potentially long wait times, especially during busy periods.	Life in Germany/Nuremberg	
				
Info for International				
Visa and RP				
	Do I need a visa to enter Germany as an international student?	It depends on your nationality. Generally, if you are a third-country national, you need a visa to enter Germany. EU citizens and nationals from countries for which the visa requirement has been lifted are exceptions. You can check whether you are subject to a visa requirement in this table: https://www.auswaertiges-amt.de/en/visa-service/-/231148. If you're unsure whether exceptions apply to you, you can contact the German mission abroad: https://www.auswaertiges-amt.de/en/about-us/auslandsvertretungen/deutsche-auslandsvertretungen.	Study Regulations	
	What type of visa do I need as a student?	As a student, you need a visa according to § 16b of the Residence Act. If you haven't been admitted to study yet, you can also apply for a visa for the purpose of applying to study.	Study Regulations	
	How do I apply for a student visa?	If you require a visa for Germany and have been granted admission to study, you must make an appointment at the German mission in your current country of residence to apply for a visa. You can find the German missions here: https://www.auswaertiges-amt.de/en/about-us/auslandsvertretungen/deutsche-auslandsvertretungen. For more information on the application process, visit: https://www.study-in-germany.de/en/plan-your-studies/requirements/visa/.	Study Regulations	
	What documents do I need for a student visa application?	The documents required for your application are usually listed in the checklists provided by the German mission abroad in your country. Proof of funding, such as a blocked account, is generally required for students.	Study Regulations	
	What is a blocked account and why do I need it?	A blocked account is the most common proof of sufficient funds required for a visa, especially for students without an employment contract in Germany. You can find detailed information about proof of funding and blocked accounts on the Study in Germany website: https://www.study-in-germany.de/en/plan-your-studies/requirements/proof-of-financing/.	Study Regulations	
	I'm a PhD student/postdoc. What visa should I apply for?	PhD students and postdocs who need visas should contact the Welcome Center. The appropriate visa type depends on your individual situation. For an initial overview, you can refer to the leaflet produced by the German Rectors' Conference (HRK): https://www.hrk.de/hrk-international/mobility-and-mutual-recognition/mobility-of-researchers/.	Study Regulations	
	Can I apply for a Schengen tourist visa and then change it to a student visa after arrival?	No. You should never apply for a Schengen visa for tourist purposes if you plan to study. This visa cannot be extended or changed into a visa for study purposes after entry. Your visa must specifically allow you to study at a particular university.	Study Regulations	
	What happens after my initial visa expires?	Before your visa expires, you must apply for a residence permit for study purposes at the Foreigners' Authority of your place of residence (§16b AufenthG). In Nuremberg, this is the Amt für Migration und Integration: https://www.nuernberg.de/internet/auslaenderbehoerde/.	Study Regulations	
	How do I apply for a residence permit?	You need to apply at the Foreigners' Office in your city. In Nuremberg, applications are made online via the platform My Nuremberg. You'll need to submit various documents, which you can find listed here for Nuremberg: https://www.nuernberg.de/internet/auslaenderbehoerde/aufenthaltstitel_zum_studium.html.	Life in Germany/Nuremberg	
	How long is a student residence permit valid?	Students usually receive a residence permit for one year. After that, you'll need to apply for an extension before your permit expires. The procedure is the same as the initial application at the Foreigners' Office.	Life in Germany/Nuremberg	
	When should I apply for a residence permit or extension?	It's important that you always apply for a residence permit before your visa or previous residence permit expires. For your first residence permit (after the initial visa), we recommend applying as soon as you have successfully registered your residence at the Residents' Registration Office. If you apply too late, a new residence permit may not be issued.	Life in Germany/Nuremberg	
	Am I allowed to work with a student residence permit?	Yes, but with limitations. With a residence permit under § 16b of the German Residence Act (AufenthG) for studying, you can work a maximum of 140 days per year (Arbeitstagekonto). Additionally, student part-time jobs (e.g., as a student assistant at the university) are allowed and not counted toward this limit. Self-employment is not permitted.	Life in Germany/Nuremberg	
	Where can I find the Foreigners' Office in my city?	To know where to turn with questions regarding foreigner matters, check with the Residents' Registration Office (Einwohnermeldeamt) of your jurisdiction. In Nuremberg, you would contact the Amt für Migration und Integration: https://www.nuernberg.de/internet/auslaenderbehoerde/.	Life in Germany/Nuremberg	
	Where can I find more information about German residence law?	The Federal Ministry of the Interior and Community has a detailed website on residence law: https://www.bmi.bund.de/EN/topics/migration/law-on-foreigners/law-on-foreigners-node.html. They also answer frequently asked questions here: https://www.bmi.bund.de/SharedDocs/faqs/DE/themen/migration/aufenthaltsrecht/aufenthaltsrecht-liste.html.	Life in Germany/Nuremberg	
	What if I initially applied for a visa to study at another university but now want to study at UTN?	If you initially applied for your visa with plans to attend another university, you should have it changed immediately after entering the country so that you can successfully enroll at UTN. Your visa must allow you to study at a specific university.	Study Regulations	
	Why is registering at the Residents' Registration Office important when moving to Germany?	Registering at the Residents' Registration Office is important when moving to Germany because it is legally mandatory, and you need to register to access essential services. Registration is required to use the city's service portal and to open a bank account when moving to Germany from abroad. The Registration is mandatory in Germany and must be completed within two weeks of moving to your new address.	Life in Germany/Nuremberg	
				
German Insurance				
	What are the main types of insurance in Germany?	The main types of insurance in Germany include social insurance (which encompasses unemployment, pension, health care, and accident insurance), health insurance, and liability insurance. There are also other types of insurance available depending on individual needs. Germany is often called the country of insurance because there is insurance for almost every area.	Life in Germany/Nuremberg	
	What does the German social security system include?	The German social security system includes unemployment, pension, health care, and accident insurance. More information can be found on the German Federal Ministry of Labour and Social Affairs website: https://www.bmas.de/EN/Social-Affairs/Social-insurance/social-insurance-art.html	Life in Germany/Nuremberg	
	When are contributions to social insurances required in Germany?	Contributions to social insurances are required as soon as you work in Germany. In general, all salaries from 520.01 EUR per month are subject to social insurance. If you earn more than this amount, contributions to various social insurances will be deducted automatically from your salary.	Life in Germany/Nuremberg	
	What is a social security number and why is it important?	A social security number is sent to you by your health insurance company when you start working in Germany. You should keep this number as you will need it repeatedly for various administrative procedures in Germany.	Life in Germany/Nuremberg	
	Is health insurance mandatory in Germany?	Yes, by law, all students and employees in Germany are required to provide proof of adequate health insurance coverage. More information can be found here: https://www.daad.de/en/study-and-research-in-germany/plan-your-studies/health-insurance/	Life in Germany/Nuremberg	
	Do students from the European Union need to get new health insurance in Germany?	No, students from the European Union or other countries with which a social security agreement exists can keep their existing insurance and do not have to obtain new insurance in Germany. They need to contact a statutory health insurance company in Germany and submit appropriate proof, such as their European Health Insurance Card or a corresponding insurance policy. Information about social security agreements can be found here: https://www.deutsche-rentenversicherung.de/DRV/EN/International/international_index.html	Life in Germany/Nuremberg	
	What do students from countries without a social security agreement need to do for health insurance?	Students from countries without a social security agreement must obtain health insurance in Germany. The statutory health insurance companies offer special insurance rates for students. It's advisable to study the information and contract conditions carefully before accepting a policy.	Life in Germany/Nuremberg	
	What health insurance options are available for students over 30 years old?	Students who are older than 30 can no longer join the relatively inexpensive statutory health insurance policies for students and must obtain another adequate offer instead. In this case, private health insurance is usually the best option. The Welcome Center can provide assistance with this.	Life in Germany/Nuremberg	
	What health insurance should people with a German employment contract get?	People who sign a German employment contract should obtain statutory health insurance in Germany. In a few exceptional cases, they can waive this and keep their health insurance from their home country or opt for a private health insurance policy. This is determined on a case-by-case basis, so it's recommended to contact the human resources department of the future employer directly.	Life in Germany/Nuremberg	
	What health insurance options are available for PhD students and postdocs without an employment contract?	PhD students and postdocs who do not sign an employment contract cannot join the statutory health insurance at student rates, even if they are enrolled. In these cases, an adequate alternative must be sought, typically through a private health insurance company. The Welcome Center can provide assistance with this.	Life in Germany/Nuremberg	
	What is private liability insurance and why is it recommended?	Private liability insurance is a damage insurance that pays for the costs of damage caused to other persons through no fault of one's own. It is not included in the social insurance. It's recommended because it has a relatively low annual premium, which can save a lot of money in the event of an accident. Some landlords now insist on such insurance before you can sign a lease. For a detailed explanation and examples, see the Simple Germany article: https://www.simplegermany.com/best-liability-insurance-germany/	Life in Germany/Nuremberg	
	Where can I find information about other types of insurance in Germany?	You can find an overview of other types of insurance that might be suitable for you on the Make it in Germany website: https://www.make-it-in-germany.com/en/living-in-germany/money-insurance/additional	Life in Germany/Nuremberg	
	Do I need to get private health insurance for my visa application?	For students from third countries who must apply for a visa, a separate private health insurance is often necessary specifically for the visa application. You can find information about this on the website of the German mission abroad in your jurisdiction: https://www.auswaertiges-amt.de/en/about-us/auslandsvertretungen	Life in Germany/Nuremberg	
	How do I decide which types of insurance are necessary for me?	It is always an individual decision which types of insurance are necessary for you. Therefore, you should get good advice and consider your personal situation before buying an insurance policy.	Life in Germany/Nuremberg	
				
Financial Aspects				
	Why is a German bank account helpful or necessary?	A German bank account is helpful and often necessary to avoid possible bank fees for international transactions. Additionally, some landlords or insurance companies specifically require a German bank account.	Life in Germany/Nuremberg	
	What types of bank account models are available in Germany?	Many German banks have special account models for students and young people. Online banks are also becoming increasingly popular, largely because they often have very low account management fees. Students should obtain comprehensive information before entering Germany and open an appropriate account as soon as possible after registering their place of residence.	Life in Germany/Nuremberg	
	What should I know about withdrawing money from a blocked account?	For withdrawals from a blocked account, another bank account in Germany is always required. It is therefore not sufficient to open only one blocked account.	Life in Germany/Nuremberg	
	How much money do I need monthly for living expenses in Germany?	Although there are usually not high tuition fees for studying in Germany, students and researchers need enough money to cover their living expenses. A reference point for monthly needs is the BAföG maximum rate.	Life in Germany/Nuremberg	
